Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Couple Leisure,Economy Class,Stockholm to New York JFK,August 2022,2.0,4.0,3.0,3.0,1.0,2.0,No,finnair,Stockholm,New York JFK
Family Leisure,Economy Class,London Heathrow to Helsinki Vantaa,July 2022,1.0,4.0,1.0,5.0,4.0,1.0,No,finnair,London Heathrow,Helsinki Vantaa
Business,Economy Class,Helsinki to Bangkok,August 2022,2.0,1.0,1.0,3.0,2.0,2.0,No,finnair,Helsinki,Bangkok
Couple Leisure,Business Class,London to Bangkok via Helsinki,July 2022,3.0,2.0,3.0,3.0,3.0,1.0,No,finnair,London,Bangkok
Solo Leisure,Economy Class,Bologna to London ,July 2022,5.0,5.0,3.0,1.0,3.0,3.0,Yes,finnair,Bologna,London 
Solo Leisure,Economy Class,Helsinki to Bangkok,July 2022,1.0,1.0,1.0,3.0,2.0,1.0,No,finnair,Helsinki,Bangkok
Solo Leisure,Economy Class,Bangkok to Venice via Helsinki,June 2022,3.0,3.0,3.0,3.0,1.0,1.0,No,finnair,Bangkok,Venice
Business,Business Class,London to Helsinki,July 2022,1.0,3.0,2.0,3.0,1.0,2.0,No,finnair,London,Helsinki
Solo Leisure,Economy Class,Dublin to Bangkok via Helsinki,June 2022,3.0,4.0,1.0,1.0,1.0,2.0,No,finnair,Dublin,Bangkok
Business,Economy Class,Helsinki to Amsterdam,June 2022,2.0,2.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,Amsterdam
Couple Leisure,Economy Class,Los Angeles to Berlin via Helsinki,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Los Angeles,Berlin
Solo Leisure,Economy Class,New York to Bangkok via Helsinki,June 2022,2.0,2.0,1.0,3.0,3.0,1.0,No,finnair,New York,Bangkok
