Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Solo Leisure,Economy Class,Zurich to Venice,May 2019,3.0,5.0,2.0,1.0,4.0,4.0,Yes,swiss-international-air-lines,Zurich,Venice
Solo Leisure,Economy Class,Zurich to Vienna,February 2020,3.0,4.0,4.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Vienna
Solo Leisure,Economy Class,Vienna to Zurich,May 2019,4.0,5.0,5.0,1.0,1.0,5.0,Yes,swiss-international-air-lines,Vienna,Zurich
Solo Leisure,Economy Class,Vienna to Zurich,February 2020,5.0,5.0,5.0,1.0,1.0,5.0,Yes,swiss-international-air-lines,Vienna,Zurich
Couple Leisure,Economy Class,Berlin to Zürich,February 2020,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Berlin,Zürich
Business,Economy Class,Zurich to Los Angeles,February 2020,5.0,5.0,5.0,3.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Los Angeles
Solo Leisure,Economy Class,Bangkok to Zurich via Geneva,December 2019,1.0,2.0,2.0,2.0,3.0,2.0,No,swiss-international-air-lines,Bangkok,Zurich
Couple Leisure,Economy Class,Paris to São Paulo via Zurich,January 2020,1.0,3.0,3.0,3.0,1.0,1.0,No,swiss-international-air-lines,Paris,São Paulo
Business,Business Class,Newark to Zurich,January 2020,1.0,5.0,1.0,1.0,3.0,1.0,No,swiss-international-air-lines,Newark,Zurich
Couple Leisure,Economy Class,Zurich to Johannesburg,January 2020,1.0,2.0,2.0,2.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Johannesburg
Family Leisure,Economy Class,Zurich to Rome,January 2020,5.0,5.0,4.0,1.0,3.0,4.0,Yes,swiss-international-air-lines,Zurich,Rome
Family Leisure,Economy Class,Berlin Tegel to Zurich,January 2020,4.0,4.0,4.0,1.0,3.0,4.0,Yes,swiss-international-air-lines,Berlin Tegel,Zurich
Couple Leisure,Economy Class,Zurich to Athens,January 2020,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Athens
Solo Leisure,Economy Class,Geneva to London,January 2020,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Geneva,London
Business,First Class,Zürich to Johannesburg,January 2020,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Zürich,Johannesburg
Couple Leisure,Economy Class,Prague to New York via Zurich,December 2019,5.0,5.0,5.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Prague,New York
Couple Leisure,Economy Class,Munich to Geneva,December 2019,4.0,3.0,1.0,1.0,4.0,1.0,No,swiss-international-air-lines,Munich,Geneva
Solo Leisure,Economy Class,Malta to London via Zurich,September 2019,3.0,5.0,4.0,4.0,4.0,4.0,Yes,swiss-international-air-lines,Malta,London
Business,Economy Class,Zürich to Hamburg,December 2019,5.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Zürich,Hamburg
Business,Economy Class,Hannover to Zürich,September 2019,3.0,4.0,4.0,2.0,3.0,1.0,No,swiss-international-air-lines,Hannover,Zürich
Business,Economy Class,Skopje to Geneva via Zurich,December 2019,4.0,3.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Skopje,Geneva
Solo Leisure,Economy Class,London Heathrow to Bangkok via Zurich,November 2019,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,London Heathrow,Bangkok
Business,Business Class,Brussels to Zurich,October 2019,4.0,4.0,3.0,1.0,3.0,3.0,Yes,swiss-international-air-lines,Brussels,Zurich
Family Leisure,Business Class,Zurich to Belgrade,September 2019,5.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Belgrade
Solo Leisure,Economy Class,Newark to Zurich,November 2019,1.0,2.0,1.0,2.0,2.0,4.0,No,swiss-international-air-lines,Newark,Zurich
Solo Leisure,Economy Class,Zurich to Bucharest,November 2019,1.0,2.0,1.0,1.0,2.0,1.0,No,swiss-international-air-lines,Zurich,Bucharest
Solo Leisure,Economy Class,London to Zürich,November 2019,5.0,5.0,5.0,1.0,4.0,5.0,Yes,swiss-international-air-lines,London,Zürich
Solo Leisure,Economy Class,Zurich to Amsterdam,November 2019,4.0,5.0,4.0,1.0,4.0,5.0,Yes,swiss-international-air-lines,Zurich,Amsterdam
Business,Business Class,Hong Kong to Paris via Zurich,October 2019,4.0,4.0,4.0,4.0,4.0,3.0,Yes,swiss-international-air-lines,Hong Kong,Paris
Solo Leisure,Economy Class,London to Zurich,October 2019,2.0,3.0,3.0,1.0,1.0,2.0,No,swiss-international-air-lines,London,Zurich
Business,Economy Class,Cairo to Paris via Zurich,October 2019,1.0,2.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Cairo,Paris
Family Leisure,Economy Class,Gdansk to Barcelona via Zurich,September 2019,4.0,3.0,5.0,1.0,3.0,5.0,Yes,swiss-international-air-lines,Gdansk,Barcelona
Solo Leisure,Economy Class,Miami to Budapest via Zurich,May 2019,4.0,4.0,1.0,2.0,3.0,3.0,Yes,swiss-international-air-lines,Miami,Budapest
Couple Leisure,First Class,Beijing to Zurich,September 2019,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Beijing,Zurich
Couple Leisure,Economy Class,Athens to Düsseldorf via Zürich,September 2019,2.0,4.0,1.0,2.0,3.0,3.0,No,swiss-international-air-lines,Athens,Düsseldorf
Business,Business Class,Montreal to Zürich,September 2019,3.0,5.0,5.0,4.0,3.0,5.0,Yes,swiss-international-air-lines,Montreal,Zürich
Solo Leisure,Economy Class,Johannesburg to Madrid via Zurich,September 2019,2.0,2.0,1.0,1.0,3.0,2.0,No,swiss-international-air-lines,Johannesburg,Madrid
Solo Leisure,Economy Class,Delhi to Zurich,September 2019,4.0,5.0,3.0,2.0,5.0,4.0,Yes,swiss-international-air-lines,Delhi,Zurich
Business,Business Class,Brussels to Zurich,September 2019,3.0,4.0,5.0,1.0,1.0,1.0,No,swiss-international-air-lines,Brussels,Zurich
Family Leisure,Economy Class,Zürich to Newark,August 2019,1.0,5.0,3.0,1.0,5.0,2.0,No,swiss-international-air-lines,Zürich,Newark
Solo Leisure,Economy Class,Berlin to Thessaloniki via Zurich,August 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Berlin,Thessaloniki
Solo Leisure,Economy Class,London City to Zurich,August 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,London City,Zurich
Business,Economy Class,Geneva to Frankfurt,August 2019,3.0,3.0,3.0,1.0,3.0,3.0,No,swiss-international-air-lines,Geneva,Frankfurt
Solo Leisure,Economy Class,Montreal to Valencia via Zurich,August 2019,3.0,5.0,5.0,5.0,1.0,4.0,No,swiss-international-air-lines,Montreal,Valencia
Solo Leisure,Economy Class,Hong Kong to Paris via Zurich,August 2019,1.0,1.0,2.0,2.0,3.0,2.0,No,swiss-international-air-lines,Hong Kong,Paris
Solo Leisure,Economy Class,London to Zurich,July 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,London,Zurich
Business,Business Class,Newark to Zurich,August 2019,1.0,1.0,1.0,1.0,2.0,2.0,No,swiss-international-air-lines,Newark,Zurich
Solo Leisure,Economy Class,Belgrade to Brussels via Zurich,August 2019,5.0,5.0,4.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Belgrade,Brussels
Business,Business Class,Tel Aviv to Venice via Zurich,July 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Tel Aviv,Venice
Couple Leisure,Business Class,Budapest to Delhi via Zurich,June 2019,2.0,2.0,2.0,1.0,1.0,1.0,No,swiss-international-air-lines,Budapest,Delhi
Family Leisure,Business Class,Singapore to Zurich,July 2019,4.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Singapore,Zurich
Family Leisure,Economy Class,Chicago to Zürich,May 2019,4.0,5.0,5.0,5.0,5.0,3.0,No,swiss-international-air-lines,Chicago,Zürich
Couple Leisure,Economy Class,Geneva to London Heathrow,July 2019,4.0,4.0,1.0,1.0,2.0,2.0,No,swiss-international-air-lines,Geneva,London Heathrow
Family Leisure,Economy Class,San Francisco to Zurich,June 2019,4.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,San Francisco,Zurich
Solo Leisure,Economy Class,Frankfurt to Bangkok via Zurich,April 2019,2.0,4.0,4.0,4.0,4.0,4.0,Yes,swiss-international-air-lines,Frankfurt,Bangkok
Couple Leisure,Business Class,Zurich to Singapore,July 2019,4.0,5.0,4.0,4.0,4.0,4.0,Yes,swiss-international-air-lines,Zurich,Singapore
Business,Economy Class,Valencia to Hannover via Zurich,July 2019,2.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Valencia,Hannover
Solo Leisure,Business Class,Budapest to New York JFK via Zürich,July 2019,3.0,5.0,5.0,3.0,5.0,5.0,Yes,swiss-international-air-lines,Budapest,New York JFK
Solo Leisure,Economy Class,Gdansk to Split via Zurich,June 2019,4.0,5.0,4.0,1.0,5.0,4.0,Yes,swiss-international-air-lines,Gdansk,Split
Solo Leisure,Economy Class,Stockholm to Stuttgart via Zürich,July 2019,4.0,4.0,3.0,1.0,2.0,1.0,No,swiss-international-air-lines,Stockholm,Stuttgart
Solo Leisure,Business Class,New York to Budapest via Zurich,July 2019,2.0,5.0,4.0,2.0,4.0,4.0,Yes,swiss-international-air-lines,New York,Budapest
Business,Economy Class,Geneva to Athens,July 2019,2.0,3.0,1.0,1.0,1.0,2.0,No,swiss-international-air-lines,Geneva,Athens
Family Leisure,Economy Class,Hamburg to Zurich,July 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Hamburg,Zurich
Couple Leisure,Economy Class,New York JFK to Zurich,June 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,New York JFK,Zurich
Couple Leisure,Economy Class,Sao Paulo to Zurich,May 2019,5.0,5.0,5.0,5.0,4.0,5.0,Yes,swiss-international-air-lines,Sao Paulo,Zurich
Solo Leisure,Business Class,London to Geneva,June 2019,4.0,4.0,1.0,1.0,3.0,1.0,No,swiss-international-air-lines,London,Geneva
Business,Economy Class,Zurich to Brussels,June 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Brussels
Family Leisure,Economy Class,Geneva to Singapore via Zurich,April 2019,3.0,1.0,1.0,4.0,2.0,3.0,No,swiss-international-air-lines,Geneva,Singapore
Family Leisure,Economy Class,Zurich to Singapore,May 2019,3.0,4.0,3.0,4.0,1.0,3.0,No,swiss-international-air-lines,Zurich,Singapore
Solo Leisure,Economy Class,Zurich to Seville via Munich,May 2019,3.0,4.0,1.0,1.0,2.0,1.0,No,swiss-international-air-lines,Zurich,Seville
Solo Leisure,Business Class,Bangkok to Zurich,May 2019,1.0,4.0,1.0,4.0,5.0,1.0,No,swiss-international-air-lines,Bangkok,Zurich
Solo Leisure,Economy Class,Amsterdam to Bangkok via Zurich,May 2019,3.0,4.0,4.0,1.0,1.0,4.0,Yes,swiss-international-air-lines,Amsterdam,Bangkok
Solo Leisure,Economy Class,Hong Kong to Zurich,May 2019,1.0,2.0,2.0,2.0,5.0,1.0,No,swiss-international-air-lines,Hong Kong,Zurich
Solo Leisure,Economy Class,Zurich to Rome,May 2019,2.0,3.0,2.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Rome
Couple Leisure,Economy Class,Zurich to Rome,January 2019,5.0,5.0,5.0,3.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Rome
Family Leisure,Economy Class,Sao Paulo to Barcelona via Zurich,December 2018,4.0,5.0,5.0,4.0,4.0,5.0,Yes,swiss-international-air-lines,Sao Paulo,Barcelona
Solo Leisure,Economy Class,London to Zurich via Lugano,March 2019,2.0,1.0,2.0,1.0,1.0,1.0,No,swiss-international-air-lines,London,Zurich
Solo Leisure,Business Class,Zurich to Bangkok,April 2019,5.0,5.0,5.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Bangkok
Solo Leisure,Economy Class,Bangkok to Zurich,April 2019,1.0,1.0,2.0,2.0,1.0,1.0,No,swiss-international-air-lines,Bangkok,Zurich
Solo Leisure,Economy Class,Zurich to Manila via Hong Kong,April 2019,2.0,3.0,3.0,2.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Manila
Couple Leisure,Economy Class,Tokyo to Zurich,April 2019,1.0,3.0,4.0,4.0,3.0,1.0,No,swiss-international-air-lines,Tokyo,Zurich
Family Leisure,Economy Class,Zurich to Tel Aviv,April 2019,3.0,1.0,3.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Tel Aviv
Solo Leisure,Economy Class,Chicago to Zurich,April 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Chicago,Zurich
Couple Leisure,Business Class,Brussels to Bangkok via Zurich,April 2019,4.0,3.0,3.0,4.0,4.0,4.0,Yes,swiss-international-air-lines,Brussels,Bangkok
Business,Economy Class,Stuttgart to São Paulo via Zurich,April 2019,2.0,4.0,3.0,3.0,1.0,3.0,No,swiss-international-air-lines,Stuttgart,São Paulo
Solo Leisure,Economy Class,London to Moscow via Zurich,April 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,London,Moscow
Solo Leisure,Economy Class,Tel Aviv to Zurich,April 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Tel Aviv,Zurich
Solo Leisure,Business Class,Zurich to Sao Paulo,April 2019,5.0,5.0,4.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Sao Paulo
Business,Economy Class,Zurich to Barcelona,March 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Barcelona
Family Leisure,Business Class,Moscow to Miami via Zurich,February 2019,3.0,4.0,5.0,3.0,4.0,4.0,Yes,swiss-international-air-lines,Moscow,Miami
Family Leisure,Economy Class,Munich to Zurich,August 2018,2.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Munich,Zurich
Solo Leisure,Economy Class,Tel Aviv to London via Zurich,February 2019,4.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Tel Aviv,London
Solo Leisure,Economy Class,Zurich to Singapore,February 2019,4.0,5.0,4.0,4.0,5.0,4.0,Yes,swiss-international-air-lines,Zurich,Singapore
Solo Leisure,Business Class,Bangkok to London via Zurich,February 2019,5.0,5.0,4.0,1.0,4.0,5.0,Yes,swiss-international-air-lines,Bangkok,London
Solo Leisure,Business Class,London to Zurich,December 2018,2.0,3.0,3.0,1.0,1.0,5.0,Yes,swiss-international-air-lines,London,Zurich
Couple Leisure,Economy Class,Paris to Zurich,November 2017,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Paris,Zurich
Solo Leisure,Business Class,Zurich to Berlin,January 2019,3.0,4.0,3.0,1.0,4.0,4.0,Yes,swiss-international-air-lines,Zurich,Berlin
Couple Leisure,Economy Class,London Heathrow to Zurich,January 2019,5.0,1.0,4.0,1.0,1.0,1.0,No,swiss-international-air-lines,London Heathrow,Zurich
Solo Leisure,Economy Class,Berlin to Zurich,December 2018,4.0,5.0,3.0,1.0,5.0,4.0,Yes,swiss-international-air-lines,Berlin,Zurich
Solo Leisure,Economy Class,Zurich to London Heathrow,January 2019,3.0,4.0,4.0,1.0,4.0,5.0,Yes,swiss-international-air-lines,Zurich,London Heathrow
Couple Leisure,Economy Class,London Heathrow to Zurich,January 2019,1.0,3.0,4.0,3.0,4.0,3.0,No,swiss-international-air-lines,London Heathrow,Zurich
Solo Leisure,Economy Class,Vienna to Zurich,January 2019,1.0,3.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Vienna,Zurich
Solo Leisure,Economy Class,San Francisco to Zurich,January 2019,1.0,3.0,4.0,4.0,4.0,4.0,No,swiss-international-air-lines,San Francisco,Zurich
Business,Business Class,Zurich to Boston,January 2019,4.0,4.0,5.0,4.0,5.0,4.0,Yes,swiss-international-air-lines,Zurich,Boston
Family Leisure,Economy Class,Zürich to Amsterdam,December 2018,2.0,1.0,2.0,1.0,2.0,3.0,No,swiss-international-air-lines,Zürich,Amsterdam
Solo Leisure,Economy Class,Prague to Zurich,December 2018,3.0,4.0,3.0,1.0,1.0,4.0,Yes,swiss-international-air-lines,Prague,Zurich
Business,Business Class,Zurich to Munich,September 2018,4.0,3.0,3.0,1.0,4.0,3.0,Yes,swiss-international-air-lines,Zurich,Munich
Business,Economy Class,Athens to Malaga via  Zurich,December 2018,2.0,2.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Athens,Malaga
Couple Leisure,Business Class,Milan to Zurich,November 2018,3.0,4.0,4.0,4.0,5.0,4.0,Yes,swiss-international-air-lines,Milan,Zurich
Couple Leisure,Business Class,Singapore to Zurich,November 2018,5.0,5.0,5.0,5.0,2.0,5.0,Yes,swiss-international-air-lines,Singapore,Zurich
Business,Economy Class,Singapore to Zurich,December 2018,2.0,4.0,3.0,4.0,4.0,3.0,No,swiss-international-air-lines,Singapore,Zurich
Solo Leisure,Economy Class,Zurich to Chicago,December 2018,3.0,5.0,4.0,5.0,3.0,5.0,Yes,swiss-international-air-lines,Zurich,Chicago
Family Leisure,Economy Class,Zurich to Singapore,December 2018,1.0,5.0,4.0,4.0,4.0,3.0,Yes,swiss-international-air-lines,Zurich,Singapore
Business,First Class,Zurich to New York,November 2018,5.0,5.0,5.0,3.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,New York
Couple Leisure,Business Class,San Francisco to Zurich,November 2018,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,San Francisco,Zurich
Business,Business Class,Geneva to New York,December 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Geneva,New York
Couple Leisure,Economy Class,Zürich to Amsterdam,December 2018,3.0,4.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zürich,Amsterdam
Couple Leisure,Business Class,Zurich to Mumbai,November 2018,3.0,5.0,4.0,3.0,4.0,4.0,Yes,swiss-international-air-lines,Zurich,Mumbai
Solo Leisure,Economy Class,Zurich to Newark,October 2018,3.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Newark
Business,Economy Class,Miami to Zurich,November 2018,1.0,4.0,4.0,4.0,4.0,3.0,Yes,swiss-international-air-lines,Miami,Zurich
Family Leisure,Economy Class,Newark to Moscow via Zurich / Vienna,August 2018,3.0,3.0,3.0,2.0,1.0,1.0,No,swiss-international-air-lines,Newark,Moscow
Couple Leisure,Economy Class,Florence to New York via Zurich,November 2018,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Florence,New York
Couple Leisure,Business Class,San Francisco to Zürich ,November 2018,3.0,5.0,4.0,4.0,2.0,4.0,Yes,swiss-international-air-lines,San Francisco,Zürich 
Business,Business Class,Shanghai to Stockholm via Zurich,November 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Shanghai,Stockholm
Couple Leisure,Economy Class,Berlin to Boston via Zurich,October 2018,3.0,4.0,3.0,1.0,2.0,4.0,No,swiss-international-air-lines,Berlin,Boston
Couple Leisure,Economy Class,Manchester to Zürich,November 2018,3.0,1.0,3.0,1.0,1.0,4.0,No,swiss-international-air-lines,Manchester,Zürich
Business,Economy Class,Zurich to Barcelona,November 2018,1.0,3.0,2.0,1.0,2.0,2.0,No,swiss-international-air-lines,Zurich,Barcelona
Solo Leisure,Economy Class,London Heathrow to Geneva,October 2018,4.0,4.0,1.0,1.0,4.0,3.0,No,swiss-international-air-lines,London Heathrow,Geneva
Couple Leisure,Economy Class,Zurich to Bangkok,October 2018,1.0,4.0,3.0,3.0,3.0,2.0,No,swiss-international-air-lines,Zurich,Bangkok
Couple Leisure,Economy Class,Boston to Barcelona via Zürich,October 2018,2.0,3.0,2.0,1.0,1.0,2.0,No,swiss-international-air-lines,Boston,Barcelona
Family Leisure,Business Class,Barcelona to Berlin via Zürich,October 2018,4.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Barcelona,Berlin
Business,Business Class,Zurich to Bangkok,October 2018,1.0,2.0,2.0,2.0,3.0,3.0,No,swiss-international-air-lines,Zurich,Bangkok
Solo Leisure,Economy Class,Zurich to Chicago,October 2018,4.0,5.0,3.0,3.0,4.0,4.0,Yes,swiss-international-air-lines,Zurich,Chicago
Solo Leisure,Economy Class,London to Tel Aviv via Zurich,October 2018,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,London,Tel Aviv
Business,Business Class,London to Zurich,October 2018,5.0,5.0,5.0,1.0,4.0,5.0,Yes,swiss-international-air-lines,London,Zurich
Business,Economy Class,Krakow to Zürich,October 2018,3.0,1.0,2.0,1.0,3.0,3.0,No,swiss-international-air-lines,Krakow,Zürich
Family Leisure,Business Class,Paris to Delhi via Zurich,October 2018,4.0,5.0,5.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Paris,Delhi
Business,Economy Class,Shanghai to Zurich,September 2018,1.0,1.0,1.0,1.0,3.0,1.0,No,swiss-international-air-lines,Shanghai,Zurich
Couple Leisure,Economy Class,Athens to Zurich,October 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Athens,Zurich
Solo Leisure,Economy Class,Belgrade to Brussels via Zurich,September 2018,5.0,5.0,4.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Belgrade,Brussels
Solo Leisure,Economy Class,Brussels to Belgrade via Zurich ,September 2018,5.0,5.0,4.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Brussels,Belgrade
Couple Leisure,Economy Class,London City to Zurich,August 2018,4.0,5.0,1.0,1.0,1.0,2.0,No,swiss-international-air-lines,London City,Zurich
Business,Business Class,Singapore to Zurich,September 2018,4.0,2.0,3.0,3.0,2.0,3.0,Yes,swiss-international-air-lines,Singapore,Zurich
Business,Economy Class,London to Geneva,September 2018,5.0,4.0,3.0,1.0,2.0,1.0,No,swiss-international-air-lines,London,Geneva
Couple Leisure,Economy Class,Zürich to Tokyo Haneda,September 2018,2.0,4.0,4.0,1.0,4.0,3.0,No,swiss-international-air-lines,Zürich,Tokyo Haneda
Solo Leisure,Business Class,Bangkok to Zurich,September 2018,5.0,5.0,5.0,4.0,5.0,4.0,Yes,swiss-international-air-lines,Bangkok,Zurich
Family Leisure,Business Class,Paris to Zürich,August 2018,2.0,2.0,4.0,1.0,4.0,3.0,No,swiss-international-air-lines,Paris,Zürich
Couple Leisure,First Class,Zurich to Sao Paulo,August 2018,5.0,5.0,5.0,5.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,Sao Paulo
Family Leisure,First Class,Sao Paulo to Zürich,September 2018,5.0,4.0,1.0,3.0,1.0,2.0,No,swiss-international-air-lines,Sao Paulo,Zürich
Solo Leisure,Economy Class,London to Tel Aviv via Zurich,September 2018,4.0,5.0,4.0,4.0,4.0,4.0,Yes,swiss-international-air-lines,London,Tel Aviv
Business,First Class,Los Angeles to Zurich,June 2018,5.0,5.0,5.0,3.0,4.0,4.0,Yes,swiss-international-air-lines,Los Angeles,Zurich
Couple Leisure,Economy Class,Malta to Zurich,July 2018,4.0,1.0,1.0,2.0,4.0,1.0,No,swiss-international-air-lines,Malta,Zurich
Couple Leisure,Economy Class,Manchester to Zurich,August 2018,4.0,5.0,4.0,2.0,4.0,4.0,Yes,swiss-international-air-lines,Manchester,Zurich
Solo Leisure,Economy Class,London to Hong Kong via Zurich,July 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,London,Hong Kong
Solo Leisure,Economy Class,Athens to Geneva via Zurich,August 2018,4.0,5.0,4.0,3.0,5.0,4.0,Yes,swiss-international-air-lines,Athens,Geneva
Solo Leisure,Economy Class,Zurich to Amsterdam,August 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Amsterdam
Business,Business Class,Montreal to Zurich,August 2018,2.0,5.0,2.0,3.0,5.0,3.0,Yes,swiss-international-air-lines,Montreal,Zurich
Couple Leisure,Business Class,Bangkok to Paris via Zurich,July 2018,5.0,1.0,2.0,1.0,1.0,2.0,No,swiss-international-air-lines,Bangkok,Paris
Solo Leisure,Economy Class,Zurich to New York JFK,July 2018,5.0,5.0,5.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,New York JFK
Solo Leisure,Economy Class,Prague to Frankfurt,July 2018,3.0,4.0,3.0,1.0,4.0,3.0,Yes,swiss-international-air-lines,Prague,Frankfurt
Business,Business Class,Bangkok to Zurich,July 2018,1.0,2.0,3.0,3.0,3.0,2.0,No,swiss-international-air-lines,Bangkok,Zurich
Family Leisure,Economy Class,Zurich to Venice,July 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Zurich,Venice
Solo Leisure,Economy Class,Singapore to Paris,June 2018,5.0,5.0,5.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Singapore,Paris
Family Leisure,Economy Class,Zürich to Newark,July 2018,3.0,2.0,5.0,1.0,4.0,4.0,Yes,swiss-international-air-lines,Zürich,Newark
Business,Business Class,Venice to Zurich,July 2018,4.0,3.0,1.0,1.0,3.0,2.0,Yes,swiss-international-air-lines,Venice,Zurich
Solo Leisure,Business Class,Vienna to Zurich,July 2018,4.0,5.0,5.0,1.0,3.0,5.0,Yes,swiss-international-air-lines,Vienna,Zurich
Solo Leisure,Business Class,Zurich to Venice,July 2018,3.0,2.0,2.0,1.0,1.0,2.0,Yes,swiss-international-air-lines,Zurich,Venice
Couple Leisure,Business Class,Zurich to London,April 2018,4.0,5.0,5.0,1.0,5.0,5.0,Yes,swiss-international-air-lines,Zurich,London
Family Leisure,Economy Class,New York JFK to Zurich,July 2018,5.0,5.0,5.0,5.0,2.0,3.0,No,swiss-international-air-lines,New York JFK,Zurich
Family Leisure,Economy Class,Dubai to Zurich,July 2018,4.0,4.0,3.0,4.0,1.0,4.0,No,swiss-international-air-lines,Dubai,Zurich
Solo Leisure,Economy Class,Singapore to Zurich,April 2018,2.0,3.0,3.0,3.0,3.0,3.0,Yes,swiss-international-air-lines,Singapore,Zurich
Solo Leisure,Economy Class,Los Angeles to Zurich,June 2018,4.0,5.0,4.0,4.0,5.0,5.0,Yes,swiss-international-air-lines,Los Angeles,Zurich
Solo Leisure,Economy Class,New York to Mumbai via Zurich,May 2018,5.0,5.0,5.0,4.0,4.0,4.0,Yes,swiss-international-air-lines,New York,Mumbai
Business,Economy Class,Hanover to Athens via Zurich,June 2018,4.0,4.0,2.0,1.0,5.0,4.0,Yes,swiss-international-air-lines,Hanover,Athens
Business,Business Class,Hong Kong to Zurich,June 2018,2.0,2.0,1.0,1.0,3.0,1.0,No,swiss-international-air-lines,Hong Kong,Zurich
Solo Leisure,Economy Class,Geneva to Athens via Zurich,June 2018,4.0,4.0,2.0,1.0,1.0,4.0,No,swiss-international-air-lines,Geneva,Athens
Solo Leisure,Economy Class,Athens to Zurich,June 2018,1.0,2.0,3.0,1.0,3.0,2.0,No,swiss-international-air-lines,Athens,Zurich
Business,Economy Class,London to Geneva,May 2018,3.0,2.0,3.0,1.0,1.0,1.0,No,swiss-international-air-lines,London,Geneva
Business,Economy Class,Brussels to Athens,April 2018,3.0,3.0,1.0,1.0,1.0,1.0,No,swiss-international-air-lines,Brussels,Athens
Business,Economy Class,Oslo to Zurich,June 2018,4.0,5.0,5.0,1.0,4.0,4.0,Yes,swiss-international-air-lines,Oslo,Zurich
