City Name,Airport Name,Country
MEMPHIS INTL,MEMPHIS INTL,UNITED STATES
MIAMI,MIAMI INTL,UNITED STATES
MILWAUKEE,MILWAUKEE,UNITED STATES
MINNEAPOLIS,MINNEAPOLIS,UNITED STATES
MONTGOMERY,MONTGOMERY,UNITED STATES
MOSES LAKE,GRANT COUNTY,UNITED STATES
NASHVILLE,NASHVILLE,UNITED STATES
NEW ORLEANS,NEW ORLEANS,UNITED STATES
NEW YORK JOHN F. KENNEDY,JOHN F. KENNEDY,UNITED STATES
NEW YORK LA GUARDIA,LA GUARDIA,UNITED STATES
NEWARK,NEWARK INTL,UNITED STATES
NEWBURGH,STEWART,UNITED STATES
NEWPORT NEWS,WILLIAMSBURG INTL,UNITED STATES
NIAGARA FALLS,NIAGARA FALLS,UNITED STATES
NORFOLK,NORFOLK INTL,UNITED STATES
OAKLAND,OAKLAND,UNITED STATES
OMAHA,EPPLEY,UNITED STATES
ONTARIO,ONTARIO INTL,UNITED STATES
ORLANDO,ORLANDO,UNITED STATES
PHILADELPHIA,PHILADELPHIA,UNITED STATES
PHOENIX,SKY HARBOR,UNITED STATES
PITTSBURGH,PITTSBURGH,UNITED STATES
PORTLAND,PORTLAND INTL,UNITED STATES
PORTLAND,PORTLAND INTL JETPORT,UNITED STATES
PRESSQUE ISLE,NORTHERN MAINE REGIONAL,UNITED STATES
PUEBLO MEMORIAL,PUEBLO MEMORIAL,UNITED STATES
RENO,CANNON INTL,UNITED STATES
RICHMOND,RICHMOND,UNITED STATES
SACRAMENTO,METROPLOLITAN,UNITED STATES
SALT LAKE CITY,SALT LAKE CITY,UNITED STATES
SAN ANTONIO,SAN ANTONIO INTL,UNITED STATES
SAN DIEGO,SAN DIEGO,UNITED STATES
SAN FRANCISCO,SAN FRANCISCO,UNITED STATES
SAVANNAH,SAVANNAH,UNITED STATES
SEATTLE,TACOMA,UNITED STATES
SEATTLE BOEING FIELD,KING COUNTY INTL,UNITED STATES
SIOUX FALLS,SIOUX FALLS,UNITED STATES
SPOKANE INTL,SPOKANE INTL,UNITED STATES
ST. LOUIS,ST. LOUIS INTL,UNITED STATES
SYRACUSE,HANCOCK INTL,UNITED STATES
TAMPA,TAMPA INTL,UNITED STATES
WASHINGTON DULLES,DULLES,UNITED STATES
WASHINGTON NATIONAL,NATIONAL,UNITED STATES
WEST PALM BEACH,WEST PALM BEACH,UNITED STATES
WILMINGTON,NEW HANOVER COUNTY,UNITED STATES
WINDSOR LOCKS,WINDSOR LOCKS,UNITED STATES
MONTEVIDEO,CARRASCO,URUGUAY
SAMARKAND,SAMARKAND,UZBEKISTAN
TASHKENT,YUZHNYY,UZBEKISTAN
CARACAS,SIMON BOLIVAR,VENEZUELA
MARACAIBO,LA CHINITA,VENEZUELA
MARGARITA,DEL CARIBE,VENEZUELA
DANANG,DANANG,VIETNAM
HANOI,NOIBAI,VIETNAM
HOCHIMINH,TANSONNHAT,VIETNAM
ST. LUCIA,HEWANORRA INTL,WINDWARD ISLANDS
ADEN,ADEN,YEMEN ARAB REPUBLIC
HODEIDAH,HODEIDAH,YEMEN ARAB REPUBLIC
SANAA,SANAA INTL.,YEMEN ARAB REPUBLIC
TAIZ,GANED,YEMEN ARAB REPUBLIC
BELGRADE,BELGRADE,YUGOSLAVIA
MOSTAR,MOSTAR,YUGOSLAVIA
OHRID,OHRID,YUGOSLAVIA
PODGORICA,PODGORICA,YUGOSLAVIA
SARAJEVO,SARAJEVO,YUGOSLAVIA
SKOPJE,SKOPJE,YUGOSLAVIA
TIVAT,TIVAT,YUGOSLAVIA
KINSHASA,NDJILI,ZAIRE
KISANGANI,BANGOKA,ZAIRE
LUBUMBASHI,BARRER LUANO,ZAIRE
MBUJI-MAYI,MBUJI-MAYI,ZAIRE
KASAMA,KASAMA,ZAMBIA
LIVINGSTONE,LIVINGSTONE,ZAMBIA
LUSAKA,LUSAKA INTL.,ZAMBIA
MANSA,MANSA,ZAMBIA
MONGU ,MONGU,ZAMBIA
N'DOLA,N'DOLA,ZAMBIA
BULAWAYO,BULAWAYO,ZIMBABWAE
CHIREDZI,BUFFALO RANGE,ZIMBABWAE
HARARE,CHARLES PRINCE,ZIMBABWAE
HARARE,HARARE INTL.,ZIMBABWAE
HWANGE,NATIONAL PARK,ZIMBABWAE
KARIBA,KARIBA,ZIMBABWAE
MASVINGO,MASVINGO,ZIMBABWAE
VICTORIA FALLS,VICTORIA FALLS,ZIMBABWAE
