Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Business,Business Class,ZRH to LHR,August 2016,4.0,4.0,5.0,,4.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,HKG to ZRH,August 2016,5.0,5.0,4.0,4.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,BCN to SIN via ZRH,July 2016,3.0,2.0,2.0,,1.0,1.0,Recommendedno,swiss-international-air-lines
Family Leisure,Economy Class,ZRH to MXP,July 2016,3.0,4.0,4.0,,4.0,5.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,AMS to BKK,August 2016,4.0,4.0,4.0,4.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,SIN to ZRH,June 2016,3.0,4.0,3.0,3.0,3.0,4.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,ZRH to TLV,August 2016,1.0,1.0,,1.0,3.0,2.0,Recommendedno,swiss-international-air-lines
Solo Leisure,Economy Class,ZRH to LUG,July 2016,4.0,5.0,2.0,,2.0,3.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Business Class,ZRH to BOS,May 2016,5.0,5.0,4.0,3.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Business Class,BKK to LHR via XZRH,June 2016,4.0,4.0,1.0,2.0,1.0,1.0,Recommendedno,swiss-international-air-lines
Business,Business Class,LUX to HKG via ZRH,July 2016,4.0,5.0,4.0,4.0,5.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,GVA to LCY,July 2016,4.0,2.0,,,1.0,1.0,Recommendedno,swiss-international-air-lines
Solo Leisure,Economy Class,ZRH to LIS,July 2016,1.0,2.0,1.0,,1.0,3.0,Recommendedno,swiss-international-air-lines
Solo Leisure,Economy Class,DAR to ORD via ZRH,August 2015,4.0,4.0,4.0,5.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Economy Class,ZRH to CDG,May 2016,1.0,1.0,1.0,,1.0,1.0,Recommendedno,swiss-international-air-lines
Business,Business Class,LHR to ZRH,June 2016,3.0,3.0,,,1.0,3.0,Recommendedno,swiss-international-air-lines
Business,Business Class,ZRH to HKG,June 2016,5.0,5.0,5.0,4.0,4.0,5.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,TXK to ZRH,June 2016,4.0,5.0,4.0,,5.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,BCN to DME via ZRH,June 2016,3.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,swiss-international-air-lines
Business,First Class,IST to ORD via ZRH,June 2016,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,MUC to GVA,June 2016,4.0,4.0,2.0,,1.0,1.0,Recommendedno,swiss-international-air-lines
Family Leisure,Business Class,BUD to FLR via ZRH,May 2016,4.0,4.0,4.0,,5.0,3.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,First Class,DME to YUL via ZRH,June 2016,2.0,3.0,3.0,2.0,2.0,3.0,Recommendedno,swiss-international-air-lines
Couple Leisure,Economy Class,DUS to OSL via ZRH,May 2016,3.0,1.0,5.0,,2.0,4.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Business Class,CDG to HKG via ZRH,May 2016,5.0,5.0,5.0,,2.0,5.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Business Class,NRT to ZRH,May 2016,4.0,2.0,3.0,3.0,1.0,4.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,GVA to LHR,April 2016,4.0,5.0,5.0,2.0,3.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,BEG to ZRH,February 2016,1.0,1.0,,,1.0,1.0,Recommendedno,swiss-international-air-lines
Business,Economy Class,STR to ZRH,April 2016,4.0,5.0,3.0,,5.0,5.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Business Class,BRU to ZRH,March 2016,4.0,5.0,4.0,,3.0,3.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,First Class,LAX to ZRH,March 2016,5.0,5.0,5.0,4.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,ZRH to LHR,March 2016,3.0,5.0,4.0,,5.0,2.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,BOM to SFO via ZRH,March 2016,3.0,4.0,1.0,3.0,1.0,3.0,Recommendedno,swiss-international-air-lines
Solo Leisure,Economy Class,BHX to DEL via ZRH,February 2016,4.0,5.0,5.0,4.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,DXB to ZRH,March 2016,2.0,2.0,4.0,3.0,4.0,3.0,Recommendedno,swiss-international-air-lines
Family Leisure,Economy Class,ARN to GVA,February 2016,3.0,3.0,3.0,,1.0,1.0,Recommendedno,swiss-international-air-lines
Couple Leisure,Economy Class,PVG to FCO via ZRH,February 2016,2.0,1.0,4.0,2.0,4.0,3.0,Recommendedno,swiss-international-air-lines
Business,Economy Class,ZRH to BUD,October 2015,4.0,3.0,4.0,,4.0,4.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Economy Class,SVO to RAK via GVA,February 2016,2.0,2.0,2.0,,1.0,1.0,Recommendedno,swiss-international-air-lines
Couple Leisure,Economy Class,BOM to ZRH,February 2016,3.0,2.0,2.0,2.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,ZRH to BOM,January 2016,3.0,5.0,4.0,4.0,3.0,4.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Business Class,LHR to JNB via ZUR,January 2016,5.0,5.0,5.0,3.0,4.0,5.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,JFK to ATH via ZRH,January 2016,1.0,3.0,3.0,3.0,4.0,3.0,Recommendedno,swiss-international-air-lines
Solo Leisure,Economy Class,ZRH to SIN,January 2016,2.0,3.0,3.0,2.0,4.0,3.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,PEK to ZRH,December 2015,4.0,5.0,5.0,5.0,4.0,3.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,LHR to PVG via ZRH,January 2016,2.0,2.0,3.0,3.0,1.0,2.0,Recommendedno,swiss-international-air-lines
Couple Leisure,Economy Class,GVA to JNB via ZRH,February 2015,4.0,4.0,4.0,3.0,4.0,3.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,ZRH to SIN,December 2015,1.0,2.0,3.0,2.0,1.0,3.0,Recommendedno,swiss-international-air-lines
Solo Leisure,Economy Class,LHR to WAW via ZRH,December 2015,4.0,4.0,3.0,,4.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,PMI to HAJ via ZRH,January 2016,3.0,3.0,4.0,3.0,3.0,4.0,Recommendedno,swiss-international-air-lines
Solo Leisure,Economy Class,TXL to BKK via ZRH,November 2015,4.0,4.0,4.0,3.0,2.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,London to Geneva,December 2015,1.0,1.0,1.0,,1.0,1.0,Recommendedno,swiss-international-air-lines
Couple Leisure,Economy Class,LUX to MIA via ZRH,December 2015,3.0,3.0,5.0,3.0,2.0,4.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Business Class,Zurich to Bangkok,December 2015,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,VIE to LCY via ZRH,October 2015,3.0,5.0,4.0,,4.0,4.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Business Class,LCY to HKG via ZRH,November 2015,4.0,5.0,4.0,,3.0,4.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Business Class,GRU to CDG via ZRH,November 2015,5.0,4.0,4.0,3.0,5.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,DXB to VCE via ZRH,November 2015,4.0,4.0,4.0,4.0,5.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,Zurich to London,November 2015,4.0,5.0,3.0,3.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,LHR to ATH via ZRH,October 2015,3.0,3.0,2.0,2.0,4.0,3.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Business Class,ZRH to LHR,October 2015,4.0,5.0,5.0,,2.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,ATH to NUE via ZRH,October 2015,4.0,4.0,1.0,,4.0,3.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,HKG to LHR via ZRH,September 2015,4.0,4.0,4.0,,5.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,PEK to ZRH,October 2015,1.0,1.0,2.0,3.0,2.0,3.0,Recommendedno,swiss-international-air-lines
Business,Business Class,LHR to DEL via ZRH,October 2015,4.0,3.0,4.0,4.0,3.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Business Class,CPH to ATH via ZRH,October 2015,4.0,4.0,4.0,3.0,3.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,MAD to SIN via ZRH,March 2015,4.0,5.0,5.0,3.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,Zurich to Singapore,July 2015,1.0,2.0,3.0,1.0,2.0,1.0,Recommendedno,swiss-international-air-lines
Solo Leisure,Economy Class,Brussels to Zurich,September 2015,5.0,5.0,3.0,,5.0,5.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,LHR to PEK via ZRH,September 2015,5.0,5.0,5.0,5.0,4.0,5.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Business Class,Zurich to Singapore,October 2015,3.0,4.0,3.0,1.0,3.0,3.0,Recommendedno,swiss-international-air-lines
Business,Business Class,ZRH to MCT via DXB,October 2015,3.0,5.0,4.0,4.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,ZRH to HEL,September 2015,4.0,5.0,5.0,4.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Business Class,Zurich to Ljubljana,September 2015,5.0,5.0,5.0,,4.0,5.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Economy Class,Geneva to Barcelona,September 2015,5.0,5.0,4.0,3.0,4.0,5.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Business Class,Narita to Zurich,September 2015,3.0,3.0,2.0,2.0,4.0,3.0,Recommendedno,swiss-international-air-lines
Couple Leisure,Business Class,BKK to ZUR,September 2015,4.0,5.0,5.0,4.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Business,First Class,Zurich to Montreal,September 2015,5.0,5.0,5.0,4.0,3.0,4.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,First Class,Bangkok to Zurich,August 2015,5.0,5.0,5.0,4.0,4.0,5.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Business Class,Zurich to Montreal,September 2015,1.0,3.0,2.0,4.0,4.0,2.0,Recommendedno,swiss-international-air-lines
Couple Leisure,Economy Class,SCQ to LCY via ZRH,September 2015,4.0,5.0,4.0,,5.0,5.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,London Heathrow to Zurich,November 2014,4.0,4.0,3.0,,3.0,4.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Economy Class,Dresden to New York via ZRH,September 2015,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,Zurich to Chicago,August 2015,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,London to Zurich,July 2015,4.0,5.0,,,4.0,2.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Economy Class,Warsaw to Montreal via ZRH,August 2015,4.0,3.0,3.0,4.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,ZRH to HKG,August 2015,4.0,3.0,4.0,3.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,HKG to ZRH,August 2015,4.0,4.0,5.0,3.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,SIN to ZRH,August 2015,4.0,5.0,3.0,4.0,4.0,5.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Economy Class,Zürich to Copenhagen,August 2015,4.0,5.0,3.0,,4.0,3.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,BRU to ZRH,August 2015,3.0,3.0,2.0,,1.0,2.0,Recommendedno,swiss-international-air-lines
Family Leisure,Economy Class,Zurich to Athens,August 2015,3.0,2.0,3.0,3.0,2.0,3.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,Montreal (YUL) to Zurich (ZRH),July 2015,5.0,5.0,5.0,4.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,Zurich (ZRH) to Paris (CDG),August 2015,4.0,5.0,4.0,,4.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,Dubai to Amsterdam via Zurich,July 2015,1.0,1.0,1.0,2.0,1.0,1.0,Recommendedno,swiss-international-air-lines
Solo Leisure,Economy Class,VIE to CPH via ZRH,July 2015,4.0,5.0,4.0,,4.0,3.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,Zürich (ZRH) to New York (JFK),April 2015,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,Zurich to Malta,July 2015,4.0,5.0,3.0,3.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,Zurich to Naples,August 2015,1.0,2.0,1.0,1.0,2.0,1.0,Recommendedno,swiss-international-air-lines
Family Leisure,Economy Class,Zurich to Dubai,July 2015,5.0,5.0,5.0,4.0,3.0,5.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,Zurich to Moscow,June 2015,4.0,4.0,4.0,2.0,3.0,3.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,Zurich to Dubai,July 2015,5.0,5.0,5.0,4.0,5.0,5.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Business Class,Brussels to Barcelona via Zurich,July 2015,4.0,5.0,5.0,,5.0,5.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,ORD to DXB via ZRH,August 2014,5.0,4.0,4.0,4.0,4.0,5.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,Malta to LCY via Zurich,July 2015,4.0,4.0,4.0,,3.0,4.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,Bangkok to Berlin via Zurich,July 2015,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,swiss-international-air-lines
Business,Business Class,LAX to TLV via ZRH,July 2015,3.0,3.0,3.0,2.0,5.0,3.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Business Class,ZRH to MLA,July 2015,3.0,4.0,4.0,1.0,4.0,3.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,MLA to ZRH,July 2015,3.0,4.0,4.0,1.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,VIE to ZRH,July 2015,4.0,4.0,3.0,3.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Economy Class,TFS to ZRH,June 2015,4.0,4.0,4.0,2.0,5.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,Dubai to Zurich,June 2015,4.0,4.0,3.0,3.0,5.0,4.0,Recommendedyes,swiss-international-air-lines
Family Leisure,Economy Class,SFO to VCE,June 2015,3.0,1.0,1.0,3.0,2.0,1.0,Recommendedno,swiss-international-air-lines
Couple Leisure,Economy Class,MUC to LIS via ZRH,June 2015,3.0,4.0,3.0,2.0,3.0,4.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,GVA-ZRH-GRU,May 2015,4.0,5.0,5.0,2.0,5.0,4.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,London City to Athens via Geneva,June 2015,4.0,4.0,4.0,2.0,4.0,4.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Economy Class,GVA-LHR-GVA,,5.0,5.0,4.0,,,5.0,Recommendedyes,swiss-international-air-lines
Solo Leisure,Economy Class,BHX-ZRH-SIN,,3.0,5.0,4.0,2.0,,4.0,Recommendedyes,swiss-international-air-lines
Business,Business Class,GVA-ZRH-GRU,,4.0,5.0,4.0,2.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,5.0,5.0,4.0,2.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,5.0,2.0,,5.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,1.0,4.0,4.0,2.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,4.0,3.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,5.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,5.0,0.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,3.0,5.0,4.0,0.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,5.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,2.0,1.0,1.0,,2.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,1.0,1.0,2.0,2.0,,1.0,Recommendedno,swiss-international-air-lines
,Business Class,,,3.0,5.0,5.0,5.0,,3.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,3.0,1.0,2.0,1.0,,1.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,5.0,4.0,4.0,2.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,4.0,3.0,4.0,,3.0,Recommendedno,swiss-international-air-lines
,Business Class,,,4.0,5.0,4.0,5.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,4.0,4.0,0.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,5.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,4.0,5.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,First Class,,,5.0,5.0,3.0,4.0,,3.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,4.0,5.0,4.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,3.0,1.0,,5.0,Recommendedyes,swiss-international-air-lines
,First Class,,,4.0,5.0,5.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,4.0,4.0,2.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,5.0,5.0,5.0,0.0,,5.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,4.0,1.0,3.0,3.0,,3.0,Recommendedno,swiss-international-air-lines
,Business Class,,,4.0,4.0,3.0,2.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,3.0,4.0,3.0,,3.0,Recommendedno,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,5.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,5.0,5.0,5.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,3.0,1.0,3.0,3.0,,1.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,1.0,2.0,1.0,1.0,,3.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,4.0,3.0,5.0,0.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,4.0,2.0,4.0,,2.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,3.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,First Class,,,3.0,4.0,4.0,1.0,,3.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,4.0,5.0,4.0,0.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,4.0,4.0,0.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,5.0,5.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,4.0,3.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,1.0,1.0,3.0,1.0,,2.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,4.0,4.0,3.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,4.0,4.0,0.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,2.0,2.0,3.0,,3.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,5.0,5.0,4.0,3.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,1.0,2.0,2.0,,2.0,Recommendedno,swiss-international-air-lines
,Business Class,,,0.0,1.0,0.0,0.0,,1.0,Recommendedno,swiss-international-air-lines
,Business Class,,,3.0,3.0,3.0,1.0,,3.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,4.0,5.0,3.0,2.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,1.0,2.0,3.0,,4.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,1.0,5.0,4.0,0.0,,2.0,Recommendedno,swiss-international-air-lines
,Business Class,,,5.0,5.0,4.0,3.0,,3.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,3.0,4.0,4.0,0.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,3.0,4.0,1.0,,3.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,1.0,1.0,1.0,1.0,,1.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,5.0,5.0,5.0,5.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,5.0,5.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,5.0,5.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,1.0,0.0,0.0,,2.0,Recommendedno,swiss-international-air-lines
,First Class,,,2.0,3.0,2.0,2.0,,2.0,Recommendedno,swiss-international-air-lines
,Business Class,,,4.0,5.0,4.0,3.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,2.0,3.0,2.0,1.0,,2.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,1.0,1.0,3.0,3.0,,1.0,Recommendedno,swiss-international-air-lines
,Business Class,,,5.0,5.0,4.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,1.0,4.0,3.0,4.0,,3.0,Recommendedno,swiss-international-air-lines
,Business Class,,,4.0,5.0,5.0,1.0,,5.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,4.0,3.0,2.0,2.0,,2.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,4.0,5.0,4.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,2.0,,3.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,2.0,1.0,3.0,2.0,,1.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,3.0,5.0,4.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,5.0,4.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,5.0,4.0,4.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,1.0,1.0,0.0,0.0,,1.0,Recommendedno,swiss-international-air-lines
,Business Class,,,3.0,5.0,5.0,3.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,2.0,2.0,1.0,,1.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,3.0,4.0,3.0,2.0,,4.0,Recommendedyes,swiss-international-air-lines
,First Class,,,1.0,1.0,2.0,3.0,,1.0,Recommendedno,swiss-international-air-lines
,Business Class,,,5.0,3.0,2.0,5.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,1.0,3.0,4.0,4.0,,2.0,Recommendedno,swiss-international-air-lines
,First Class,,,5.0,5.0,5.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,1.0,1.0,1.0,,1.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,4.0,5.0,4.0,0.0,,5.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,4.0,4.0,4.0,3.0,,1.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,5.0,3.0,5.0,0.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,5.0,5.0,5.0,0.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,1.0,1.0,4.0,,2.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,2.0,2.0,1.0,0.0,,2.0,Recommendedno,swiss-international-air-lines
,Business Class,,,4.0,5.0,4.0,3.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,5.0,1.0,1.0,,1.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,1.0,3.0,2.0,1.0,,2.0,Recommendedno,swiss-international-air-lines
,Business Class,,,4.0,5.0,5.0,5.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,3.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,1.0,1.0,1.0,1.0,,2.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,1.0,4.0,4.0,3.0,,3.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,2.0,5.0,5.0,5.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,5.0,4.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,4.0,3.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,4.0,5.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,5.0,4.0,2.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,4.0,4.0,4.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,4.0,1.0,0.0,,2.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,2.0,3.0,4.0,2.0,,3.0,Recommendedno,swiss-international-air-lines
,Business Class,,,4.0,3.0,4.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,4.0,2.0,4.0,,3.0,Recommendedno,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,3.0,2.0,0.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,1.0,4.0,3.0,4.0,,2.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,3.0,2.0,3.0,3.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,1.0,3.0,2.0,2.0,,3.0,Recommendedno,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,4.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
