Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Solo Leisure,Economy Class,Helsinki to Bangkok,July 2022,1.0,1.0,1.0,3.0,2.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Bangkok to Venice via Helsinki,June 2022,3.0,3.0,3.0,3.0,1.0,1.0,Recommendedno,finnair
Business,Business Class,London to Helsinki,July 2022,1.0,3.0,2.0,3.0,1.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,Dublin to Bangkok via Helsinki,June 2022,3.0,4.0,1.0,1.0,1.0,2.0,Recommendedno,finnair
Business,Economy Class,Helsinki to Amsterdam,June 2022,2.0,2.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Los Angeles to Berlin via Helsinki,June 2022,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,New York to Bangkok via Helsinki,June 2022,2.0,2.0,1.0,3.0,3.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Singapore to Helsinki,June 2022,5.0,3.0,1.0,2.0,4.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,New York to London,March 2022,,,,,,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Oslo to New Delhi via Helsinki,June 2022,3.0,3.0,1.0,2.0,3.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,Brussels to Bangkok via Helsinki,May 2022,4.0,5.0,3.0,3.0,4.0,5.0,Recommendedyes,finnair
Couple Leisure,Business Class,London to Singapore via Helsinki,May 2022,4.0,4.0,4.0,3.0,1.0,2.0,Recommendedno,finnair
Solo Leisure,Business Class,Paris to Helsinki via Bangkok,June 2022,4.0,4.0,3.0,4.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Miami to London,May 2022,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Helsinki to Barcelona,May 2022,3.0,2.0,1.0,,2.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,Berlin to Delhi via Helsinki,April 2022,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Bangkok to London via Helsinki,April 2022,5.0,5.0,4.0,5.0,2.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,Bangkok to Rome via Helsinki,April 2022,3.0,1.0,1.0,1.0,1.0,3.0,Recommendedno,finnair
Solo Leisure,Economy Class,Copenhagen to Tokyo via Helsinki,April 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
